,Landmark Name,Category,Province & District,GPS Coordinates,Description,History,Built By / Founder,Year Built / Historical Period,Cultural/Religious Significance,Main Attractions,Opening Hours,Average Visit Duration:,Ticket Price (Foreign),Best Time to Visit,Nearby Attractions,Nearby Hotels,Nearby Restaurants, 
358,Sembuwatta Forest Area,Forest / Nature Site,Central Province – Matale District,"7.5167° N, 80.6667° E","Sembuwatta Forest Area is a scenic highland region near Elkaduwa, Matale, known for its pine forests, mountain views, and the famous Sembuwatta Lake. It offers a peaceful environment surrounded by nature.","The area was historically covered with natural forests before plantation development during the colonial period transformed parts of the landscape. Pine forests were introduced as part of forestry activities, creating the distinctive scenery seen today. The region has since become a popular eco-tourism destination combining forest landscapes and recreational activities.",Natural forest ecosystem,Natural formation,Highland forest area surrounding the famous Sembuwatta Lake.,"Forest walks, lake, mountain views, nature photography.",8:00 AM – 5:00 PM,2–3 hours,Approx. USD 3–5,January–April; morning,"Sembuwatta Lake, Knuckles, Hunnasgiriya, Riverston, Matale","Amaya Hills, Riverston lodges, Kandy hotels, Matale hotels, eco resorts","Matale restaurants, Kandy cafes, hotel restaurants, local eateries, food stalls",
359,Kiri Vehera Polonnaruwa,Stupa / Religious Site,North Central Province – Polonnaruwa District,"7.9500° N, 81.0000° E",Kiri Vehera is a large ancient Buddhist stupa located within the sacred city of Polonnaruwa. It is one of the best-preserved stupas from the Polonnaruwa Kingdom and remains an important religious monument.,Kiri Vehera was constructed during the reign of King Parakramabahu I (1153–1186 CE) as part of the Alahana Pirivena monastic complex. The stupa was built to honor Buddhist teachings and served monks who studied and lived within the monastery. Its well-preserved white structure reflects the architectural achievements of medieval Sri Lanka.,King Parakramabahu I period,12th century AD,Ancient white stupa representing Polonnaruwa Buddhist heritage.,"Stupa, ruins, archaeological surroundings.",7:00 AM – 6:00 PM,30–60 minutes,Heritage ticket,January–April; morning,"Gal Vihara, Rankoth Vehera, Hatadage, Vatadage, Parakrama Samudra","Hotel Sudu Araliya, Giritale Hotel, Deer Park Hotel, Cinnamon Lodge, Aliya Resort","Priyamali Gedara, Jaga Food, Lake View Restaurant, hotel restaurants, local cafes",
360,Statue of King Parakramabahu,Monument / Statue,North Central Province – Polonnaruwa District,"7.9333° N, 80.9833° E",The Statue of King Parakramabahu is a famous stone sculpture located near the ancient city of Polonnaruwa. The figure stands approximately 3.5 meters tall and is admired for its detailed craftsmanship and historical importance.,"The statue is traditionally identified as King Parakramabahu I, one of Sri Lanka's greatest rulers, who developed Polonnaruwa into a powerful kingdom. Some historians suggest it may represent a sage or religious figure instead. Carved during the Polonnaruwa Period, the statue remains one of the finest examples of ancient Sri Lankan stone sculpture.",King Parakramabahu I memorial statue,12th century AD,Monument representing one of Sri Lanka’s greatest medieval rulers.,"Stone statue, Parakrama Samudra views, archaeology.",7:00 AM – 6:00 PM,30 minutes,Heritage ticket,January–April; evening,"Parakrama Samudra, Potgul Vihara, Royal Palace, Gal Vihara, Polonnaruwa ruins","Hotel Sudu Araliya, Giritale Hotel, Deer Park Hotel, Cinnamon Lodge, Aliya Resort","Priyamali Gedara, Jaga Food, Lake View Restaurant, local restaurants, hotel dining",
361,Angammedilla National Park,National Park,North Central Province – Polonnaruwa District,"7.9000° N, 81.1500° E","Angammedilla National Park is a protected wildlife area located near Polonnaruwa, known for its forests, wetlands, elephants, and diverse wildlife. It also protects important water resources connected to ancient irrigation systems.","Angammedilla was declared a national park in 2006 to conserve the catchment area of the Parakrama Samudraya reservoir and protect the surrounding ecosystem. The park contains ancient irrigation channels and archaeological remains reflecting the region's long relationship between nature and human settlement. Today, it supports biodiversity conservation and wildlife tourism.",Department of Wildlife Conservation,Established 2006,Protected wildlife area preserving forests and ancient irrigation landscapes.,"Wildlife safaris, elephants, birds, forests, rivers.",6:00 AM – 6:00 PM,3–5 hours,Approx. USD 20–30 + jeep fees,May–September; morning/evening safari,"Polonnaruwa Ancient City, Minneriya, Parakrama Samudra, Somawathiya, Maduru Oya","Hotel Sudu Araliya, Giritale Hotel, Deer Park Hotel, Cinnamon Lodge, Aliya Resort","Priyamali Gedara, Jaga Food, Lake View Restaurant, hotel restaurants, local cafes",
362,Minneriya Tank,Reservoir / Wildlife Area,North Central Province – Polonnaruwa District,"8.0333° N, 80.9000° E","Minneriya Tank is an ancient reservoir located near Minneriya National Park, famous for its historical importance, scenic beauty, and the world-renowned gathering of wild elephants.","Minneriya Tank was built in the 3rd century CE by King Mahasen (277–304 CE) as part of his extensive irrigation projects. The reservoir transformed dry-zone agriculture and supported settlements for centuries. Today, the surrounding national park is famous for the ""Minneriya Elephant Gathering,"" where large herds gather around the reservoir during the dry season.",King Mahasen,3rd century AD,Ancient irrigation reservoir famous for supporting agriculture and wildlife.,"Reservoir views, elephants, birds, sunsets, photography.",6:00 AM – 6:00 PM,1–2 hours,Free,June–September; sunset,"Minneriya National Park, Kaudulla, Habarana, Sigiriya, Polonnaruwa","Cinnamon Lodge Habarana, Aliya Resort, Jetwing Lake, Heritance Kandalama, Deer Park Hotel","Athula Restaurant, Mango Mango, Sandra Restaurant, hotel restaurants, local cafes",
363,Giritale Tank,Reservoir / Lake,North Central Province – Polonnaruwa District,"8.0500° N, 80.9500° E","Giritale Tank is an ancient reservoir located near Polonnaruwa, surrounded by forests and wildlife habitats. It is admired for its engineering design, peaceful scenery, and importance in Sri Lanka's irrigation heritage.",Giritale Tank was constructed during the reign of King Agbo II (604–614 CE) during the Anuradhapura Period. The reservoir was later maintained and expanded by rulers of the Polonnaruwa Kingdom. It played a crucial role in supplying water for agriculture and remains an excellent example of Sri Lanka's ancient hydraulic engineering.,King Agbo II tradition,Ancient irrigation period,Historic reservoir supporting the ancient Polonnaruwa kingdom.,"Lake scenery, birds, sunsets, wildlife views.",Open access,1–2 hours,Free,January–April; sunrise/sunset,"Polonnaruwa, Minneriya, Gal Vihara, Parakrama Samudra, Medirigiriya","Giritale Hotel, Hotel Sudu Araliya, Deer Park Hotel, Cinnamon Lodge, Aliya Resort","Jaga Food, Priyamali Gedara, Lake View Restaurant, hotel restaurants, cafes",
364,Maduru Oya Reservoir,Reservoir / Lake,Eastern Province – Batticaloa District,"7.7000° N, 81.2000° E","Maduru Oya Reservoir is a large artificial reservoir located within the Mahaweli Development region. It supports agriculture, hydroelectric development, and wildlife habitats in the surrounding dry zone.","Maduru Oya Reservoir was created during the Mahaweli Development Programme in the 1980s with the construction of the Maduru Oya Dam. The project helped expand irrigation and agricultural development in eastern Sri Lanka. The surrounding area was later protected as Maduru Oya National Park, preserving important wildlife habitats including elephant populations.",Mahaweli Development Authority,Completed 1983 AD,Important irrigation and hydroelectric project supporting rural communities.,"Reservoir views, wildlife, fishing, bird watching.",6:00 AM – 6:00 PM,2–3 hours,Free,May–September; morning/evening,"Maduru Oya National Park, Dambana, Gal Oya, Wasgamuwa, Polonnaruwa","Local eco lodges, Gal Oya Lodge, Giritale Hotel, Deer Park Hotel, Polonnaruwa hotels","Local restaurants, hotel restaurants, village eateries, cafes, food stalls",
365,Kokkadicholai Temple,Temple / Religious Site,Eastern Province – Batticaloa District,"7.5333° N, 81.7833° E","Kokkadicholai Temple is a historic Hindu temple located near Batticaloa, dedicated to Lord Shiva. It is an important religious center for the Tamil Hindu community in eastern Sri Lanka.","Kokkadicholai Temple has ancient roots connected with Hindu worship traditions in the Batticaloa region. The temple has served local communities for generations and reflects the long-standing cultural and religious heritage of eastern Sri Lanka. Despite periods of conflict affecting the region, it continues to function as an important place of worship and cultural identity.",Ancient Hindu tradition,Ancient period,Important Hindu temple representing Batticaloa’s cultural heritage.,"Temple architecture, religious festivals, rituals.",6:00 AM – 8:00 PM,1 hour,Free / Donation,April–September; morning,"Batticaloa Lagoon, Fort, Kallady Bridge, Pasikuda, Kalkudah","The Heritage Inn, Riviera Resort, Hotel East Lagoon, Amaya Beach, Aki Villa","Seafood restaurants, Riviera Restaurant, local Batticaloa restaurants, cafes, hotel restaurants",
366,Uppuveli Beach,Beach,Eastern Province – Trincomalee District,"8.6100° N, 81.2150° E","Uppuveli Beach is a beautiful coastal destination near Trincomalee, known for its soft white sands, clear turquoise waters, coral reefs, and peaceful atmosphere. It is one of the most popular beaches on Sri Lanka's eastern coast.","Uppuveli has traditionally been a fishing area supporting coastal communities around Trincomalee. Its natural harbor and strategic location made the surrounding region important throughout history, including during colonial periods. With the growth of tourism after the end of conflict in the region, Uppuveli developed into a major beach destination while maintaining its natural charm.",Natural coastal area,Natural formation,Popular east coast beach known for clear waters and marine activities.,"Swimming, snorkeling, diving, sunsets, beach relaxation.",Open access,Half day–full day,Free,May–September; morning/evening,"Fort Frederick, Koneswaram Temple, Nilaveli Beach, Marble Beach, Pigeon Island","Trinco Blu by Cinnamon, Amaranthe Bay, Jungle Beach Resort, Anantamaa Hotel, Aqua Hotel","Fernando’s Bar, seafood restaurants, beach cafes, hotel restaurants, local eateries",
367,Mannar Fort,Fort / Historical Site,Northern Province – Mannar District,"8.9833° N, 79.9167° E","Mannar Fort is a historic coastal fortress located on Mannar Island, overlooking the Gulf of Mannar. Built with strong stone walls, it represents the island's importance in colonial maritime history.","Mannar Fort was originally built by the Portuguese in 1560 to control the pearl fisheries and maritime routes around the Gulf of Mannar. The Dutch captured and rebuilt the fort in 1658, and it was later used by the British. Although partially ruined today, it remains a significant monument reflecting Sri Lanka's colonial past.",Portuguese; expanded by Dutch,1560 AD,Colonial fort representing maritime history of Mannar.,"Fort walls, ocean views, ruins, photography.",Daylight hours,1 hour,Free,December–April; evening,"Mannar Island, Baobab Tree, Doric House, Giant’s Tank, Adam’s Bridge","Hotel Agape, Palmyrah House, Pearl Rest, Mannar hotels, guesthouses","Mannar seafood restaurants, Palmyrah Restaurant, local cafes, hotel restaurants, village eateries",
